形态,方向,过滤器,SL,交易数,胜,负,胜率%,随机WR%,Z值,显著,平均盈亏,盈亏/ATR,盈亏比,止损率%
CDLDOJI,bull,atr_high,1.0,104,51,53,49.0,45.6,0.71,N,0.19,-0.015,1.03,26.9
CDLDOJI,bull,atr_high,1.25,104,53,51,51.0,46.2,0.98,N,0.43,-0.005,1.08,17.3
CDLDOJI,bull,atr_high,1.5,104,55,49,52.9,52.8,0.02,N,0.77,0.021,1.14,12.5
CDLDOJI,bull,atr_high,1.75,104,56,48,53.8,50.3,0.72,N,1.78,0.073,1.39,4.8
CDLDOJI,bull,atr_high,2.0,104,56,48,53.8,49.8,0.83,N,1.94,0.082,1.44,1.9
CDLDOJI,bull,atr_high,2.25,104,56,48,53.8,52.8,0.21,N,1.88,0.077,1.42,1.9
CDLDOJI,bull,atr_high,2.5,104,56,48,53.8,49.8,0.82,N,1.82,0.072,1.4,1.9
CDLDOJI,bull,atr_high,2.75,104,56,48,53.8,50.0,0.78,N,1.76,0.067,1.39,1.9
CDLDOJI,bull,atr_high,3.0,104,56,48,53.8,51.0,0.59,N,1.74,0.066,1.38,1.0
CDLSHORTLINE,bull,rsi_mid_oversold,0.5,111,38,73,34.2,37.2,-0.65,N,-0.51,-0.058,0.89,60.4
CDLSHORTLINE,bull,rsi_mid_oversold,0.75,111,52,59,46.8,45.5,0.29,N,-0.01,-0.005,1.0,37.8
CDLSHORTLINE,bull,rsi_mid_oversold,1.0,111,56,55,50.5,50.2,0.06,N,-0.24,-0.014,0.95,28.8
CDLSHORTLINE,bull,rsi_mid_oversold,1.25,111,59,52,53.2,49.2,0.84,N,-0.24,-0.016,0.95,21.6
CDLSHORTLINE,bull,rsi_mid_oversold,1.5,111,59,52,53.2,48.5,0.98,N,-0.45,-0.03,0.92,17.1
CDLSHORTLINE,bull,rsi_mid_oversold,1.75,111,59,52,53.2,48.8,0.92,N,-0.29,-0.014,0.94,9.9
CDLSHORTLINE,bull,rsi_mid_oversold,2.0,111,59,52,53.2,48.9,0.9,N,-0.59,-0.032,0.9,8.1
CDLSHORTLINE,bull,rsi_mid_oversold,2.25,111,59,52,53.2,49.7,0.73,N,-0.85,-0.047,0.86,7.2
CDLSHORTLINE,bull,rsi_mid_oversold,2.5,111,59,52,53.2,51.8,0.28,N,-1.09,-0.06,0.82,6.3
CDLSHORTLINE,bull,rsi_mid_oversold,2.75,111,60,51,54.1,51.3,0.59,N,-0.87,-0.049,0.85,5.4
CDLSHORTLINE,bull,rsi_mid_oversold,3.0,111,60,51,54.1,50.2,0.81,N,-1.09,-0.062,0.82,4.5
CDLSPINNINGTOP,bull,trend_up,0.5,254,91,163,35.8,34.6,0.41,N,-0.19,-0.01,0.96,57.9
CDLSPINNINGTOP,bull,trend_up,0.75,254,119,135,46.9,44.6,0.72,N,0.92,0.042,1.18,37.8
CDLSPINNINGTOP,bull,trend_up,1.0,254,125,129,49.2,47.2,0.65,N,0.51,0.017,1.09,27.6
CDLSPINNINGTOP,bull,trend_up,1.25,254,127,127,50.0,46.9,0.98,N,0.3,0.008,1.05,20.1
CDLSPINNINGTOP,bull,trend_up,1.5,254,127,127,50.0,49.1,0.27,N,0.11,-0.007,1.02,14.6
CDLSPINNINGTOP,bull,trend_up,1.75,254,127,127,50.0,49.6,0.12,N,0.19,-0.006,1.03,9.4
CDLSPINNINGTOP,bull,trend_up,2.0,254,127,127,50.0,48.5,0.47,N,0.17,-0.002,1.03,6.3
CDLSPINNINGTOP,bull,trend_up,2.25,254,127,127,50.0,49.5,0.17,N,0.09,-0.005,1.01,5.1
CDLSPINNINGTOP,bull,trend_up,2.5,254,127,127,50.0,50.7,-0.22,N,0.06,-0.005,1.01,3.5
CDLSPINNINGTOP,bull,trend_up,2.75,254,127,127,50.0,50.5,-0.15,N,0.09,-0.006,1.01,2.0
CDLSPINNINGTOP,bull,trend_up,3.0,254,127,127,50.0,49.4,0.19,N,0.14,-0.001,1.02,1.2
CDLSPINNINGTOP,bull,rsi_mid_oversold,0.5,145,44,101,30.3,28.3,0.54,N,-0.07,-0.051,0.99,66.9
CDLSPINNINGTOP,bull,rsi_mid_oversold,0.75,145,60,85,41.4,37.5,0.97,N,0.45,-0.026,1.08,48.3
CDLSPINNINGTOP,bull,rsi_mid_oversold,1.0,145,67,78,46.2,45.9,0.08,N,0.47,-0.024,1.08,34.5
CDLSPINNINGTOP,bull,rsi_mid_oversold,1.25,145,71,74,49.0,49.3,-0.07,N,0.9,-0.004,1.16,24.8
CDLSPINNINGTOP,bull,rsi_mid_oversold,1.5,145,73,72,50.3,49.1,0.3,N,0.7,-0.023,1.12,21.4
CDLSPINNINGTOP,bull,rsi_mid_oversold,1.75,145,74,71,51.0,49.2,0.44,N,0.89,-0.017,1.16,16.6
CDLSPINNINGTOP,bull,rsi_mid_oversold,2.0,145,74,71,51.0,50.4,0.15,N,0.66,-0.038,1.11,14.5
CDLSPINNINGTOP,bull,rsi_mid_oversold,2.25,145,76,69,52.4,51.7,0.18,N,1.36,0.014,1.25,9.7
CDLSPINNINGTOP,bull,rsi_mid_oversold,2.5,145,76,69,52.4,48.4,0.97,N,1.13,-0.005,1.2,9.0
CDLSPINNINGTOP,bull,rsi_mid_oversold,2.75,145,76,69,52.4,49.3,0.76,N,1.31,0.002,1.24,6.9
CDLSPINNINGTOP,bull,rsi_mid_oversold,3.0,145,76,69,52.4,48.4,0.96,N,1.16,-0.011,1.21,5.5
CDLLONGLINE,bull,none,0.5,475,149,326,31.4,33.2,-0.86,N,-0.05,-0.02,0.99,64.8
CDLLONGLINE,bull,none,0.75,475,192,283,40.4,42.4,-0.87,N,0.03,-0.009,1.0,45.5
CDLLONGLINE,bull,none,1.0,475,213,262,44.8,46.4,-0.69,N,-0.12,-0.009,0.98,33.7
CDLLONGLINE,bull,none,1.25,475,222,253,46.7,46.3,0.19,N,0.1,0.01,1.02,22.9
CDLLONGLINE,bull,none,1.5,475,232,243,48.8,48.2,0.3,N,0.21,0.023,1.03,17.5
CDLLONGLINE,bull,none,1.75,475,235,240,49.5,48.6,0.37,N,0.44,0.027,1.07,11.8
CDLLONGLINE,bull,none,2.0,475,235,240,49.5,50.0,-0.24,N,0.5,0.031,1.08,6.5
CDLLONGLINE,bull,none,2.25,475,235,240,49.5,50.5,-0.43,N,0.5,0.032,1.08,4.8
CDLLONGLINE,bull,none,2.5,475,235,240,49.5,47.3,0.96,N,0.43,0.028,1.07,4.0
CDLLONGLINE,bull,none,2.75,475,235,240,49.5,49.8,-0.12,N,0.49,0.028,1.08,2.7
CDLLONGLINE,bull,none,3.0,475,235,240,49.5,50.6,-0.5,N,0.51,0.029,1.08,1.9
CDLBELTHOLD,bull,rsi_overbought,0.5,20,8,12,40.0,41.2,-0.11,N,-0.01,0.01,1.0,55.0
CDLBELTHOLD,bull,rsi_overbought,0.75,20,11,9,55.0,45.0,0.9,N,2.04,0.145,1.41,30.0
CDLBELTHOLD,bull,rsi_overbought,1.0,20,11,9,55.0,46.7,0.75,N,2.08,0.142,1.43,20.0
CDLBELTHOLD,bull,rsi_overbought,1.25,20,11,9,55.0,47.9,0.63,N,2.02,0.136,1.41,10.0
CDLBELTHOLD,bull,rsi_overbought,1.5,20,11,9,55.0,54.2,0.07,N,1.64,0.111,1.31,10.0
CDLBELTHOLD,bull,rsi_overbought,1.75,20,11,9,55.0,46.7,0.75,N,1.27,0.086,1.22,10.0
CDLBELTHOLD,bull,rsi_overbought,2.0,20,11,9,55.0,46.2,0.78,N,0.89,0.061,1.15,10.0
CDLBELTHOLD,bull,rsi_overbought,2.25,20,11,9,55.0,50.0,0.45,N,0.51,0.036,1.08,10.0
CDLBELTHOLD,bull,rsi_overbought,2.5,20,11,9,55.0,50.4,0.41,N,0.14,0.011,1.02,10.0
CDLBELTHOLD,bull,rsi_overbought,2.75,20,11,9,55.0,45.4,0.86,N,-0.24,-0.014,0.97,10.0
CDLBELTHOLD,bull,rsi_overbought,3.0,20,11,9,55.0,50.0,0.45,N,-0.61,-0.039,0.92,10.0
