形态,方向,过滤器,最佳SL,交易数,胜率%,Z值,显著,盈亏比,盈亏/ATR,止损率%,是否达标
CDLHIGHWAVE,bull,rsi_overbought,0.5,15,33.3,-0.65,N,1.46,0.082,60.0,N
CDLHIGHWAVE,bull,trend_up,0.5,104,27.9,-0.71,N,0.71,-0.112,64.4,N
CDLHIKKAKE,bull,trend_down,0.5,163,30.1,-0.76,N,0.75,-0.082,65.6,N
CDLHARAMI,bull,rsi_mid_oversold,2.75,52,40.4,-0.77,N,0.71,-0.169,3.8,N
CDLHIKKAKE,bull,none,1.75,273,46.9,-0.78,N,0.81,nan,10.6,N
CDLTAKURI,bull,atr_low,2.5,20,35.0,-0.86,N,0.71,-0.161,5.0,N
CDLDRAGONFLYDOJI,bull,atr_low,0.5,19,21.1,-0.87,N,0.71,-0.114,68.4,N
CDLRICKSHAWMAN,bull,rsi_oversold,1.75,11,27.3,-0.87,N,0.4,-0.3,9.1,N
CDLHIKKAKE,bear,atr_high,2.75,92,43.5,-0.9,N,0.53,-0.185,3.3,N
CDLLONGLEGGEDDOJI,bull,rsi_oversold,2.0,18,33.3,-0.95,N,0.55,-0.282,16.7,N
CDLTAKURI,bull,trend_up,1.25,18,33.3,-0.99,N,0.29,-0.294,11.1,N
CDLDOJI,bull,rsi_oversold,1.25,18,33.3,-1.03,N,0.62,-0.236,44.4,N
CDLDRAGONFLYDOJI,bull,trend_up,1.5,18,33.3,-1.06,N,0.28,-0.323,11.1,N
CDL3OUTSIDE,bear,rsi_mid_overbought,2.25,14,28.6,-1.12,N,0.1,-0.703,21.4,N
CDLGRAVESTONEDOJI,bear,rsi_mid_overbought,1.25,13,23.1,-1.27,N,0.32,-0.227,7.7,N
