ticket,strategy,magic,direction,volume,entry_time,entry_price,exit_time,exit_price,pnl,commission,net_pnl,exit_reason,stop_loss,take_profit,entry_bid,entry_ask
90000000,sanqing_h1_upgraded_BUY,880108,BUY,0.01,2026-07-20 17:43:20,4020.9,,,,,,,4003.18,4057.17,4020.79,4021.19
90000001,stoch_trend_h1_upgraded_BUY,661203,BUY,0.01,2026-07-20 17:43:23,4021.2,,,,,,,4002.29,4059.06,4020.78,4021.18
90000000,sanqing_h1_upgraded_BUY,880108,BUY,0.01,2026-07-20 17:52:10,4019.46,,,,,,,4000.97,4056.87,4019.31,4019.71
90000001,stoch_trend_h1_upgraded_BUY,661203,BUY,0.01,2026-07-20 17:52:13,4019.64,,,,,,,4000.18,4058.59,4019.34,4019.74
90000000,sanqing_h1_upgraded_BUY,880108,BUY,0.01,2026-07-20 18:33:33,4023.58,,,,,,,4001.22,4067.55,4022.9,4023.3
90000000,,,,,,,2026-07-20 19:32:05,4031.61,8.03,1.0,7.03,,,,,
90000001,sanqing_h1_upgraded_BUY,880108,BUY,0.01,2026-07-20 20:01:43,4020.93,,,,,,,3997.26,4068.17,4020.54,4020.94
90000000,sanqing_h1_upgraded_BUY,880108,BUY,0.01,2026-07-20 20:42:48,4009.05,,,,,,,3985.71,4055.73,4008.14,4008.54
26072000,sanqing_h1_BUY,880107,BUY,0.01,2026-07-20 21:59:29,4007.66,,,,,,,3946.72,7065.15,4007.34,4007.74
26072000,sanqing_h1_upgraded_BUY,880108,BUY,0.01,2026-07-20 22:15:12,3999.44,,,,,,,3976.64,4045.03,3999.48,3999.88
26072000,,,,,,,2026-07-20 22:44:52,4007.34,7.9,1.0,6.9,,,,,
26072001,sanqing_h1_upgraded_BUY,880108,BUY,0.01,2026-07-20 22:49:54,4013.58,,,,,,,3990.06,4060.2,4013.1,4013.5
26072000,,,,,,,2026-07-20 22:54:54,4008.41,0.75,1.0,-0.25,,,,,
26072100,sanqing_h1_BUY,880107,BUY,0.01,2026-07-21 03:32:14,4014.44,,,,,,,3951.94,7143.52,4014.0,4014.4
26072001,,,,,,,2026-07-21 09:00:13,4021.41,7.83,1.0,6.83,,,,,
26072100,sanqing_h1_upgraded_BUY,880108,BUY,0.01,2026-07-21 09:00:46,4020.74,,,,,,,3997.99,4066.77,4019.96,4020.37
